Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,target: energy_capacity
KALIMANTAN BARAT,2013,88.81,91.61,8.13,68.37,118640.96,4716.0,147307.0,603.49
KALIMANTAN TENGAH,2013,74.1,93.66,1.97,59.54,81956.92,2440.0,153564.5,356.76
KALIMANTAN SELATAN,2013,76.41,89.85,2.67,69.25,115858.2,3923.0,38744.23,1831.94
KALIMANTAN TIMUR,2013,68.1,89.81,2.55,85.0,519131.87,3970.0,129066.64,1437.95
KALIMANTAN UTARA,2013,,,,,52604.7,,75467.7,73.6
SULAWESI UTARA,2013,76.12,85.84,0.57,67.52,71097.46,2387.0,13851.64,580.77
SULAWESI TENGAH,2013,83.91,91.88,3.11,56.34,79842.22,2831.0,11257.07,490.62
SULAWESI SELATAN,2013,83.84,84.39,7.28,68.52,258836.42,8432.0,61841.29,1450.85
SULAWESI TENGGARA,2013,85.42,89.29,4.82,61.12,71041.25,2448.0,46717.48,296.59
GORONTALO,2013,80.71,90.82,1.84,36.51,22129.28,1116.0,16787.18,56.83
SULAWESI BARAT,2013,88.71,91.99,7.41,48.93,25249.49,1258.0,38067.7,3.22
MALUKU,2013,79.53,89.25,1.76,56.24,27834.44,1657.0,46914.03,263.37
MALUKU UTARA,2013,85.88,92.32,2.17,54.26,21439.49,1139.0,31982.5,124.38
PAPUA BARAT,2013,73.01,92.58,4.38,59.24,52997.66,850.0,319036.05,119.43
PAPUA,2013,81.9,95.9,32.04,45.07,122857.17,3091.0,97024.27,128.19
INDONESIA,2013,80.08,88.21,5.16,69.71,9612506.5,252165.0,1910931.32,58163.33
ACEH,2014,80.33,87.07,2.49,64.17,127897.07,5002.0,57956.0,221.13
SUMATERA UTARA,2014,68.5,89.2,1.82,79.75,521954.95,13938.0,72981.23,5017.05
SUMATERA BARAT,2014,69.27,88.05,1.89,59.82,164944.26,5196.0,42012.89,136.53
RIAU,2014,68.09,91.63,2.36,87.94,679395.86,6344.0,87023.66,317.09
JAMBI,2014,80.38,91.3,3.35,73.37,144814.42,3402.0,8201.72,43.13
