Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,num_rainy_days,target: energy_generation
SULAWESI UTARA,2011,73.47,86.34,0.7,63.42,57343.6,2334.0,13851.64,276.0,1240.32
SULAWESI TENGAH,2011,83.31,92.39,3.49,50.89,60716.29,2739.0,11257.07,,865.77
SULAWESI SELATAN,2011,82.73,84.43,8.23,62.29,198289.08,8250.0,61841.29,176.0,4339.22
SULAWESI TENGGARA,2011,84.72,91.32,5.74,58.63,55758.55,2346.0,46717.48,121.0,670.71
GORONTALO,2011,78.38,90.48,1.9,33.06,17406.53,1080.0,16787.18,215.0,366.08
SULAWESI BARAT,2011,86.37,92.22,8.07,44.85,20189.34,1211.0,38067.7,175.0,238.03
MALUKU,2011,79.39,88.78,2.85,49.53,21367.86,1600.0,46914.03,257.0,480.08
MALUKU UTARA,2011,84.77,92.66,3.29,49.88,17078.14,1091.0,31982.5,239.0,309.37
PAPUA BARAT,2011,66.63,92.9,5.72,54.83,44254.64,807.0,319036.05,246.0,430.63
PAPUA,2011,80.57,97.08,33.47,46.54,108188.76,2974.0,97024.27,196.0,724.78
INDONESIA,2011,79.22,88.36,5.72,65.2,7825075.53,245416.0,1910931.32,137.0,199028.08
ACEH,2012,78.71,87.41,3.23,61.44,114552.08,4811.0,57956.0,227.0,2119.0
SUMATERA UTARA,2012,68.79,89.5,2.13,76.81,417120.44,13590.0,72981.23,230.0,8703.67
SUMATERA BARAT,2012,70.46,86.71,1.93,56.15,131435.65,5066.0,42012.89,217.0,3063.28
RIAU,2012,68.8,91.27,2.32,83.69,558492.72,6033.0,87023.66,191.0,3586.45
JAMBI,2012,78.84,91.46,3.61,73.0,115070.4,3286.0,8201.72,194.0,1083.79
SUMATERA SELATAN,2012,80.94,92.07,2.47,68.69,253265.12,7829.0,50058.16,143.0,4783.02
BENGKULU,2012,80.56,92.99,3.45,75.68,36207.68,1814.0,91592.43,143.0,785.43
LAMPUNG,2012,86.5,91.38,3.68,85.79,187348.82,7932.0,16424.06,195.0,3571.0
KEP. BANGKA BELITUNG,2012,85.1,89.49,4.44,76.78,45400.23,1315.0,19919.33,202.0,861.52
KEP. RIAU,2012,66.78,92.48,2.41,69.78,144840.79,1861.0,34623.8,139.0,2694.79
DKI JAKARTA,2012,56.59,85.2,1.02,76.61,1369432.64,9970.0,664.01,219.0,41328.6
JAWA BARAT,2012,78.99,87.16,3.38,67.42,1128245.68,45341.0,35377.76,164.0,44071.43
JAWA TENGAH,2012,88.95,87.79,6.69,73.47,754529.44,33264.0,9662.92,163.0,20408.19
DI YOGYAKARTA,2012,76.83,80.64,6.51,64.22,77247.86,3595.0,32800.69,,2484.16
JAWA TIMUR,2012,88.56,87.81,8.12,61.48,1248767.29,38363.0,3133.15,171.0,30824.81
BANTEN,2012,78.05,89.21,3.46,66.29,338224.93,11452.0,47799.75,132.0,8575.1
BALI,2012,76.17,91.87,8.16,65.41,117987.4,4056.0,5780.06,153.0,4594.18
NUSA TENGGARA BARAT,2012,85.62,87.31,12.18,38.8,69022.23,4711.0,18572.32,88.0,1402.3
NUSA TENGGARA TIMUR,2012,86.3,91.08,7.41,60.06,54893.15,4954.0,48718.1,218.0,749.76
KALIMANTAN BARAT,2012,87.87,92.42,7.37,67.38,106958.8,4641.0,147307.0,210.0,1989.63
KALIMANTAN TENGAH,2012,77.87,93.35,2.21,56.74,73425.38,2385.0,153564.5,225.0,1048.64
KALIMANTAN SELATAN,2012,76.08,89.43,2.88,64.36,106725.43,3854.0,38744.23,231.0,2187.64
KALIMANTAN TIMUR,2012,71.35,91.71,2.48,85.14,550735.76,3871.0,129066.64,,3007.3
KALIMANTAN UTARA,2012,,,,,,,75467.7,230.0,206.5
SULAWESI UTARA,2012,75.4,87.49,0.79,65.79,63875.31,2360.0,13851.64,,1302.58
SULAWESI TENGAH,2012,85.84,91.79,3.26,62.95,69637.92,2786.0,11257.07,191.0,948.78
SULAWESI SELATAN,2012,83.53,84.66,7.44,59.12,228285.47,8342.0,61841.29,,4479.46
SULAWESI TENGGARA,2012,85.1,91.39,5.74,46.92,64693.98,2397.0,46717.48,207.0,703.59
GORONTALO,2012,81.2,91.28,2.39,54.78,19669.72,1098.0,16787.18,165.0,398.82
SULAWESI BARAT,2012,88.05,92.18,6.36,30.93,22626.21,1234.0,38067.7,226.0,258.7
MALUKU,2012,81.81,88.65,2.34,52.26,24661.75,1628.0,46914.03,,509.51
MALUKU UTARA,2012,85.5,92.28,2.55,51.59,19340.46,1115.0,31982.5,256.0,329.44
PAPUA BARAT,2012,68.37,93.16,4.2,47.04,47421.09,828.0,319036.05,219.0,455.58
PAPUA,2012,82.59,96.53,30.99,58.21,112812.56,3032.0,97024.27,151.0,763.32
INDONESIA,2012,80.89,88.5,5.24,66.53,8672954.41,248818.0,1910931.32,218.0,204279.97
ACEH,2013,79.86,87.49,2.92,62.5,121331.13,4907.0,57956.0,232.0,2409.11
SUMATERA UTARA,2013,68.23,89.06,1.82,78.06,469464.02,13767.0,72981.23,214.0,9671.48
SUMATERA BARAT,2013,70.51,86.9,1.85,58.71,146899.83,5132.0,42012.89,229.0,3415.29
RIAU,2013,70.17,91.53,2.18,86.42,607498.45,6188.0,87023.66,238.0,4069.93
JAMBI,2013,79.93,91.37,3.14,74.45,129976.04,3344.0,8201.72,250.0,1176.09
SUMATERA SELATAN,2013,79.95,90.31,2.46,70.5,280348.46,7942.0,50058.16,198.0,5239.35
BENGKULU,2013,81.25,92.7,2.92,72.27,40565.49,1845.0,91592.43,243.0,852.84
LAMPUNG,2013,87.62,91.9,3.4,80.3,204402.64,8026.0,16424.06,227.0,3998.3
KEP. BANGKA BELITUNG,2013,84.26,89.76,3.92,78.08,50388.36,1344.0,19919.33,172.0,979.19
KEP. RIAU,2013,64.73,91.03,2.39,85.67,163261.57,1917.0,34623.8,240.0,2823.17
DKI JAKARTA,2013,47.26,83.66,1.05,77.87,1546876.49,10075.0,664.01,187.0,31643.13
JAWA BARAT,2013,78.87,87.06,3.37,71.89,1258989.33,46030.0,35377.76,149.0,50791.2
JAWA TENGAH,2013,88.14,87.38,6.69,70.7,830016.02,33523.0,9662.92,181.0,21057.04
DI YOGYAKARTA,2013,76.88,80.47,6.27,72.41,84924.54,3637.0,32800.69,206.0,2724.49
JAWA TIMUR,2013,87.66,87.77,7.93,66.58,1382501.5,38610.0,3133.15,157.0,34114.16
BANTEN,2013,77.48,88.64,4.05,69.04,377836.08,11705.0,47799.75,160.0,22557.53
BALI,2013,72.36,91.65,8.01,69.25,134407.53,4105.0,5780.06,126.0,5069.64
NUSA TENGGARA BARAT,2013,87.1,88.05,12.22,45.41,73618.88,4774.0,18572.32,,1677.54
NUSA TENGGARA TIMUR,2013,87.43,91.59,7.06,65.07,61325.26,5037.0,48718.1,241.0,855.25
KALIMANTAN BARAT,2013,88.81,91.61,8.13,68.37,118640.96,4716.0,147307.0,243.0,2252.06
KALIMANTAN TENGAH,2013,74.1,93.66,1.97,59.54,81956.92,2440.0,153564.5,259.0,1134.95
KALIMANTAN SELATAN,2013,76.41,89.85,2.67,69.25,115858.2,3923.0,38744.23,248.0,2391.87
KALIMANTAN TIMUR,2013,68.1,89.81,2.55,85.0,519131.87,3970.0,129066.64,265.0,3418.33
KALIMANTAN UTARA,2013,,,,,52604.7,,75467.7,,180.59
SULAWESI UTARA,2013,76.12,85.84,0.57,67.52,71097.46,2387.0,13851.64,213.0,1544.87
SULAWESI TENGAH,2013,83.91,91.88,3.11,56.34,79842.22,2831.0,11257.07,206.0,1068.79
SULAWESI SELATAN,2013,83.84,84.39,7.28,68.52,258836.42,8432.0,61841.29,207.0,5172.5
SULAWESI TENGGARA,2013,85.42,89.29,4.82,61.12,71041.25,2448.0,46717.48,198.0,850.7
GORONTALO,2013,80.71,90.82,1.84,36.51,22129.28,1116.0,16787.18,,460.13
SULAWESI BARAT,2013,88.71,91.99,7.41,48.93,25249.49,1258.0,38067.7,215.0,312.89
MALUKU,2013,79.53,89.25,1.76,56.24,27834.44,1657.0,46914.03,251.0,463.05
MALUKU UTARA,2013,85.88,92.32,2.17,54.26,21439.49,1139.0,31982.5,251.0,237.12
PAPUA BARAT,2013,73.01,92.58,4.38,59.24,52997.66,850.0,319036.05,142.0,533.47
PAPUA,2013,81.9,95.9,32.04,45.07,122857.17,3091.0,97024.27,200.0,868.01
INDONESIA,2013,80.08,88.21,5.16,69.71,9612506.5,252165.0,1910931.32,163.0,226014.06
ACEH,2014,80.33,87.07,2.49,64.17,127897.07,5002.0,57956.0,188.0,2587.71
SUMATERA UTARA,2014,68.5,89.2,1.82,79.75,521954.95,13938.0,72981.23,199.0,10445.02
SUMATERA BARAT,2014,69.27,88.05,1.89,59.82,164944.26,5196.0,42012.89,176.0,3496.18
RIAU,2014,68.09,91.63,2.36,87.94,679395.86,6344.0,87023.66,174.0,4377.21
JAMBI,2014,80.38,91.3,3.35,73.37,144814.42,3402.0,8201.72,178.0,1219.01
SUMATERA SELATAN,2014,80.43,90.7,2.4,72.11,306421.6,8052.0,50058.16,179.0,5501.26
BENGKULU,2014,80.64,91.71,2.77,74.89,45389.9,1875.0,91592.43,174.0,907.45
LAMPUNG,2014,88.3,91.32,3.17,81.83,230794.45,8117.0,16424.06,157.0,4257.15
KEP. BANGKA BELITUNG,2014,84.31,89.88,3.41,79.83,56373.62,1373.0,19919.33,226.0,1066.35
KEP. RIAU,2014,67.91,91.87,2.67,88.94,180879.98,1973.0,34623.8,187.0,2990.44
DKI JAKARTA,2014,47.76,85.47,1.13,79.19,1762316.4,10178.0,664.01,160.0,32779.19
JAWA BARAT,2014,78.54,87.24,3.36,73.24,1385825.08,46710.0,35377.76,154.0,52878.86
JAWA TENGAH,2014,88.06,87.42,6.13,72.49,922471.18,33774.0,9662.92,176.0,23558.02
DI YOGYAKARTA,2014,74.97,79.88,5.55,74.28,92842.48,3679.0,32800.69,160.0,2856.95
JAWA TIMUR,2014,87.14,87.9,7.61,67.88,1537947.63,38848.0,3133.15,106.0,35817.9
BANTEN,2014,77.96,88.93,3.61,72.25,428740.07,11955.0,47799.75,103.0,23736.3
BALI,2014,69.8,92.11,7.83,71.76,156395.73,4153.0,5780.06,217.0,5247.16
NUSA TENGGARA BARAT,2014,85.29,87.1,10.23,52.24,81620.73,4836.0,18572.32,175.0,1776.81
NUSA TENGGARA TIMUR,2014,86.33,91.63,6.41,67.96,68500.43,5120.0,48718.1,221.0,927.41
KALIMANTAN BARAT,2014,87.53,90.74,7.53,69.22,132345.29,4790.0,147307.0,146.0,2373.12
KALIMANTAN TENGAH,2014,73.51,93.55,2.26,65.18,89889.88,2495.0,153564.5,217.0,1223.79
KALIMANTAN SELATAN,2014,74.39,89.34,2.71,70.78,127882.28,3990.0,38744.23,229.0,2602.39
KALIMANTAN TIMUR,2014,68.91,90.12,2.14,87.3,527515.26,4069.0,129066.64,167.0,3637.27
KALIMANTAN UTARA,2014,,,,,59184.0,,75467.7,190.0,183.32
SULAWESI UTARA,2014,74.6,85.96,0.61,69.52,80667.63,2412.0,13851.64,172.0,1676.89
SULAWESI TENGAH,2014,84.66,92.32,2.9,57.71,90246.27,2877.0,11257.07,152.0,1171.08
SULAWESI SELATAN,2014,83.82,84.26,7.13,70.47,298033.8,8520.0,61841.29,153.0,5472.48
SULAWESI TENGGARA,2014,86.32,89.67,4.51,64.2,78622.15,2500.0,46717.48,229.0,911.73
GORONTALO,2014,79.24,90.2,1.8,39.92,25193.78,1133.0,16787.18,183.0,503.49
SULAWESI BARAT,2014,89.0,92.36,6.64,50.6,29458.25,1282.0,38067.7,231.0,345.28
MALUKU,2014,79.84,88.62,1.83,59.92,31656.48,1686.0,46914.03,202.0,597.37
MALUKU UTARA,2014,86.13,92.09,2.11,58.36,24042.08,1162.0,31982.5,146.0,401.48
PAPUA BARAT,2014,70.88,93.05,3.91,59.73,58180.96,872.0,319036.05,105.0,569.02
PAPUA,2014,81.7,95.88,29.47,46.16,133329.98,3149.0,99671.63,185.0,916.96
INDONESIA,2014,79.77,88.34,4.87,71.52,10699877.63,255462.0,1913578.68,140.0,239012.04
ACEH,2015,82.36,87.34,2.94,67.12,129092.66,5190.0,57956.0,135.0,542.64
SUMATERA UTARA,2015,71.09,89.35,2.29,81.08,571722.01,14262.0,72981.23,138.0,20764.57
SUMATERA BARAT,2015,74.13,87.11,2.16,64.69,179951.98,5322.0,42012.89,166.0,839.91
RIAU,2015,71.56,91.45,2.25,87.84,652761.63,6658.0,87023.66,151.0,852.32
JAMBI,2015,83.94,91.66,3.43,77.58,155065.66,3515.0,8201.72,163.0,122.81
SUMATERA SELATAN,2015,83.02,91.28,2.38,74.16,331765.7,8267.0,50058.16,174.0,16127.75
BENGKULU,2015,85.52,93.42,3.66,77.4,50334.02,1934.0,91592.43,121.0,152.12
LAMPUNG,2015,90.35,92.27,3.44,83.77,252883.1,8290.0,16424.06,177.0,40.91
KEP. BANGKA BELITUNG,2015,87.85,89.43,3.79,83.22,60987.32,1431.0,19919.33,140.0,1076.84
KEP. RIAU,2015,67.67,90.86,2.83,89.68,199570.39,2083.0,34623.8,119.0,3159.62
DKI JAKARTA,2015,51.09,83.74,1.22,80.53,1989088.75,10374.0,664.01,133.0,16222.44
JAWA BARAT,2015,80.63,86.86,3.45,76.14,1524974.83,48038.0,35377.76,155.0,42686.15
JAWA TENGAH,2015,90.93,87.38,6.58,75.73,1010986.64,34258.0,9662.92,124.0,42131.6
DI YOGYAKARTA,2015,76.99,81.63,6.14,78.1,101440.52,3762.0,32800.69,91.0,0.0
JAWA TIMUR,2015,90.46,87.54,8.26,70.98,1691477.06,39293.0,3133.15,82.0,56831.86
